leader,id,date,total_amount,group,Grant start date,start_month,type,location
Hu Jintao/Kim Jong-il,120,6/17/2008 - 6/19/2008,1,jintao,3/11/10,8,Non-summit,North Korea
Hu Jintao/Kim Jong-il,121,8/8/09,1,jintao,3/11/10,11,Non-summit,China
Hu Jintao/Kim Jong-il,122,1/21/2009 - 1/23/2009,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,123,3/17/2009 - 3/21/2009,1,jintao,11/12/09,3,Non-summit,China
Hu Jintao/Kim Jong-il,124,4/13/2009 - 4/17/2009,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,125,9/16/2009-9/18/2009,1,jintao,3/11/10,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,126,10/4/2009 - 10/6/2009,1,jintao,3/11/10,8,Non-summit,Norh
Hu Jintao/Kim Jong-il,127,11/18/09,1,jintao,3/11/10,11,Non-summit,China
Hu Jintao/Kim Jong-il,128,11/22/2009 - 11/26/2009,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,129,11/30/2009 - 12/3/2009,1,jintao,2/4/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,130,12/18/09,1,jintao,8/3/09,3,Non-summit,China
Hu Jintao/Kim Jong-il,131,2/6/2010 - 2/9/2010,1,jintao,11/12/09,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,132,2/23/10,1,jintao,3/11/10,8,Non-summit,China
Hu Jintao/Kim Jong-il,133,4/29/2010 - 5/1/2010,1,jintao,3/11/10,11,Non-summit,China
Hu Jintao/Kim Jong-il,134,5/3/2010 - 5/7/2010,15,jintao,3/11/10,3,Summit,China
Hu Jintao/Kim Jong-il,135,8/26/2010 - 8/30/2010,15,jintao,3/11/10,3,Summit,China
Hu Jintao/Kim Jong-il,136,9/30/2010 - 10/2/2010,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,137,10/9/2010 - 10/11/2010,1,jintao,2/4/10,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,138,10/19/10,1,jintao,8/3/09,8,Non-summit,China
Hu Jintao/Kim Jong-il,139,11/1/2010 - 11/8/2010,1,jintao,11/12/09,11,Non-summit,China
Hu Jintao/Kim Jong-il,140,12/1/10,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,141,12/8/2010 - 12/9/2010,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,142,2/13/2011 - 2/15/2011,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,143,5/16/2011 - 5/20/2011,1,jintao,3/11/10,2,Non-summit,North Korea
Hu Jintao/Kim Jong-il,144,5/20/2011 - 5/26/2011,15,jintao,3/11/10,8,Summit,China
Hu Jintao/Kim Jong-il,145,6/10/2011 - 6/13/2011,1,jintao,2/4/10,11,Non-summit,North Korea
Hu Jintao/Kim Jong-il,146,7/8/11,1,jintao,8/3/09,3,Non-summit,China
Hu Jintao/Kim Jong-il,147,7/10/2011 - 7/12/2010,1,jintao,11/12/09,3,Non-summit,North Korea
Hu Jintao/Kim Jong-il,148,7/11/11,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-il,149,8/25/2011 - 8/27/2011,15,jintao,3/11/10,2,Summit,China
Hu Jintao/Kim Jong-il,150,9/26/2011 - 9/30/2011,1,jintao,3/11/10,8,Non-summit,China
Hu Jintao/Kim Jong-il,151,10/23/2011 - 10/25/2011,1,jintao,3/11/10,11,Non-summit,North Korea
Hu Jintao/Kim Jong-il,152,11/15/2011 - 11/18/2011,1,jintao,3/11/10,3,Non-summit,North Korea
Hu Jintao/Kim Jong-un,153,4/20/2012 - 4/25/2012,1,jintao,3/11/10,8,Non-summit,China
Hu Jintao/Kim Jong-un,154,7/30/2012 - 8/3/2012,1,jintao,3/11/10,11,Non-summit,North Korea
